Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0040,0184,02EC,0140,FE0F,8A0D,000B,0A61,0B28,1F6E,3203,1A80,03F6,0094,0011,0002,0004
0041,0184,02EC,0140,FE0C,8A06,000C,0B08,200D,332C,19A0,0375,0072,0020,0003,0002,0001
0042,0184,02EC,013E,FE14,8A03,000C,0AF9,20B7,3300,193D,0391,006E,0011,0001,0000,0002
0043,0184,02EF,013F,FE0E,8A07,000A,03E9,0A2E,0B13,208E,3295,199D,038E,0080,000D,0002
0044,0184,02EF,0140,FE0E,8A05,000A,03D6,0A4A,0B3E,2023,3217,1A57,038E,007A,000D,0001
0045,0184,02EC,013C,FE0C,8A02,000B,0A53,0B7D,2022,3268,19DB,037F,0086,0012,0003,0001
0046,0184,02EF,013F,FE0E,8A03,000A,03F1,0A73,0B01,209A,3258,1958,03C8,0076,0015,0001
0047,0184,02F3,0140,FE0C,89FF,0009,03F2,0A21,0B47,2037,3228,1A72,033F,0088,000D,0000
0048,0184,02EC,0146,FE0F,89F7,000B,0A0B,0B0A,20D4,3342,1925,035B,0077,0013,0004,0001
0049,0184,02EC,0141,FE0C,8A00,000B,0A13,0B06,207A,32D5,19FF,038B,0070,0012,0001,0002
004A,0184,02EF,013C,FE0F,8A00,000C,0AC6,203E,3341,1A04,0367,0084,001A,0001,0000,0002
004B,0183,02EC,0141,FE0F,89F3,000A,03DC,09E5,0A69,208C,328A,1A8C,038A,0084,0018,0001
004C,0184,02EE,0143,FE0E,89F6,000D,200F,331E,1A8D,0372,0077,0015,0005,0001,0000,0001
004D,0183,02EE,013C,FE10,89FA,000C,0A8C,2027,3345,1A66,03A4,0087,001A,0005,0001,0001
004E,0183,02EC,013F,FE0F,89EE,000B,0982,09DD,1F8A,339A,1B7E,03DB,0082,001D,0003,0001
004F,0182,02E9,0143,FE0C,89FA,000A,0383,09A9,0A4A,2046,332E,1AE7,0399,007D,0012,0001
0050,0182,02EC,0143,FE0F,89FB,000B,09D5,0A04,1FEF,3365,1AAC,03BF,0090,001C,0002,0001
0051,0182,02EC,0143,FE09,89F5,000B,0993,0A8D,1FF8,32FB,1AF5,03B0,008E,0013,0002,0001
0052,0182,02E8,0140,FE0C,89FB,000B,0978,09CB,1FC0,337D,1BB3,03C6,0084,0019,0004,0001
0053,0182,02EE,013F,FE10,89EF,0009,03B3,0945,0A0C,2052,3317,1B38,03C0,0078,0012,0000
0054,017E,02EE,0140,FE0F,89F1,000C,09F1,2010,3363,1AE5,03BC,0084,000B,0004,0001,0001
0055,0181,02EE,013C,FE10,89F6,000C,0A35,1F60,33E7,1A7A,0405,0081,0018,0001,0000,0001
0056,0182,02EE,013E,FE13,89EE,000B,097D,09E3,1FD0,32A3,1BC3,0402,007B,0019,0003,0002
0057,0183,02EC,013F,FE0F,89EB,000B,09BD,09D9,1FD8,3358,1AEB,03C0,0086,0012,0001,0001
0058,0180,02F0,013C,FE0C,89F1,000B,0970,09A6,2039,3265,1BD0,040B,008A,0010,0002,0001
0059,0180,02EC,013C,FE10,89EA,000B,091B,09EA,1F55,3350,1C4E,03F5,008E,0011,0001,0002
005A,0180,02EB,0143,FE0F,89E9,000B,0932,09E6,1FE5,3322,1BA4,040C,007D,0010,0001,0001
005B,0180,02E9,013C,FE0F,89F5,000A,03B7,093C,0994,1F3B,33A6,1BC9,0429,008C,0009,0006
005C,0181,02EC,0140,FE0F,89E2,000D,1F59,33A3,1BDE,03F0,0087,000F,0000,0000,0000,0001
005D,0180,02E7,013F,FE0B,89EA,000B,0947,093E,1F4D,3396,1C63,03F7,0088,0022,0001,0001
005E,0180,02EC,0140,FE0E,89ED,000C,0952,1F7A,336F,1BFD,0409,0067,0010,0003,0004,0001
005F,017F,02EB,0143,FE0F,89EF,000C,0981,1F42,33A3,1C1A,03F4,0086,0014,0003,0001,0001
0060,017F,02EB,0140,FE0B,89F1,000B,0990,0967,1FB8,33F8,1B75,03D7,008A,001A,0002,0001
0061,017F,02EC,013F,FE0F,89E7,000C,0913,1EDC,33C9,1C7F,043C,008C,0014,0004,0001,0001
0062,017D,02EC,013F,FE0C,89EB,000B,0906,0920,1F43,339A,1CB1,0427,0071,000D,0002,0001
0063,017F,02EE,013F,FE0F,89EB,000A,036F,0955,08E4,1EA0,3454,1CAD,0403,0090,000E,0001
0064,017D,02E9,013F,FE0F,89E6,000B,08F9,08EE,1F3C,340C,1C67,0404,0091,000E,0000,0001
0065,017F,02EE,0140,FE0C,89E4,000A,036D,08C1,0893,1E1F,3420,1E04,0441,0089,0014,0002
0066,0180,02EB,0141,FE0F,89E7,000C,08AC,1EE5,33DA,1D10,0425,0083,0017,0001,0001,0001
0067,0180,02EC,0141,FE0C,89E9,000B,08DC,08D7,1E9C,3428,1D2B,042F,0084,0019,0001,0001
0068,017D,02EE,013C,FE0E,89E3,000C,08FC,1F1E,33F7,1D1C,03FA,0077,0010,0002,0001,0001
0069,017D,02EE,013E,FE0C,89E4,000C,08C2,1E85,33D3,1D9C,0438,0081,001F,0004,0000,0001
006A,017D,02EB,013F,FE0F,89DF,000D,1E5D,3403,1D7C,0477,0081,001A,0003,0001,0000,0001
006B,017D,02EF,0143,FE0C,89E0,000C,088D,1E9B,33AB,1DB3,0483,0091,0017,0003,0000,0001
006C,017C,02EB,0140,FE10,89DF,000B,0865,087B,1EBB,3449,1DCB,041D,0091,0016,0002,0001
006D,017C,02EC,013F,FE0F,89E0,000B,0916,082C,1E85,33E4,1DC8,0482,0073,0015,0000,0001
006E,017C,02EC,0140,FE07,89E0,000B,08E6,0842,1EFB,343D,1D2F,043F,007C,0013,0000,0001
006F,017C,02E9,0141,FE0C,89DB,000B,08D6,0839,1DE7,34C0,1DB8,0459,008B,001A,0000,0002
0070,017C,02E9,013F,FE0F,89D9,000B,07FF,07F7,1E02,3478,1ED9,04B3,008C,0011,0001,0001
0071,017C,02EF,0143,FE07,89E2,000C,07D5,1E25,34F2,1DD5,0483,008C,0014,0001,0001,0001
0072,017D,02EC,0147,FE08,89DF,000C,079D,1DDF,344B,1ED8,04DA,007C,0017,0001,0000,0001
0073,017C,02EF,0140,FE0E,89DA,000C,0788,1DCF,34E3,1ECD,046B,008C,0010,0002,0001,0001
0074,017C,02EC,0143,FE0C,89E0,000C,075C,1E69,3409,1F01,04CC,0086,0019,0001,0000,0001
0075,017C,02EC,013F,FE10,89DE,0009,0381,085A,0793,1DBC,3431,1EED,04F4,0090,0012,0000
0076,017C,02EE,013F,FE08,89DC,000C,077C,1DEF,3492,1EAE,04D9,008E,0014,0004,0002,0001
0077,017C,02E8,013F,FE0E,89D0,000B,085D,077E,1DA9,352E,1E12,04DC,00A8,0015,0000,0002
0078,017C,02EF,0140,FE0C,89D2,000A,037D,0850,073D,1D4E,34A9,1F4F,04E0,0081,001F,0002
0079,017B,02EE,013F,FE0F,89D3,000A,03DF,081D,0764,1D6E,3452,1F11,04EF,0097,001A,0002
007A,017C,02E9,013C,FE0C,89D7,000B,0850,0790,1D05,34F4,1EB2,04DF,00A7,0010,0003,0002
007B,017C,02E9,013E,FE0F,89D9,000B,0820,0753,1D53,3454,1F8D,04F2,008E,0014,0002,0001
007C,0179,02E9,0143,FE0C,89DF,000B,0804,0784,1DD3,344E,1ED7,0516,009B,001E,0004,0002
007D,0179,02EB,0140,FE0C,89CA,000B,0871,07A6,1DE8,3418,1EA7,04DA,0083,0012,0002,0002
007E,0178,02EB,0141,FE0B,89D4,000A,0394,07F2,07E6,1D13,3428,1F61,0529,0080,001D,0006
007F,017C,02EC,0144,FE0C,89CD,000C,07A6,1D6C,3480,1F04,04C1,008E,0018,0003,0001,0001
0080,017B,02EB,013F,FE11,89C8,000C,0799,1D97,33E6,1F6B,04D2,0081,000E,0004,0000,0001
0081,017A,02EF,013E,FE0E,89D1,000A,0376,0891,078C,1DDF,34D1,1E22,04BB,0098,0016,0003
0082,0179,02EC,0143,FE0E,89CB,000A,03AD,0821,07AB,1E00,33DB,1EF7,04CE,0096,001A,0002
0083,017A,02EC,013F,FE10,89CD,000A,037A,0840,07A2,1D5F,3497,1EF2,04E0,0094,0014,0001
0084,017A,02EB,013F,FE0E,89D0,000A,0382,081D,0753,1D8A,349E,1F51,04B7,0098,0015,0001
0085,017B,02EB,0140,FE0F,89CD,000B,0840,073C,1E0D,34AF,1E22,04E0,008C,001B,0002,0004
0086,017B,02EF,013F,FE0C,89CF,000B,0839,070C,1DF3,3456,1F01,04F9,0085,0016,0003,0002
