Report: 2017-07-14_AA0003_r-015-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 015-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/27,16:23:54
Report date/time: 2017/07/28,16:23:02
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
004A,018B,02EE,013F,FE14,8A23,000B,14E4,1236,2618,2558,09AF,023D,005D,0017,0003,0001
004B,018A,02F0,013C,FE0E,8A1A,000A,0AE6,1520,1189,2681,255C,09D3,0259,006E,0011,0003
004C,018B,02EE,013C,FE0F,8A1C,000A,0AB2,14D9,1124,270B,2518,0A8B,0242,0069,0012,0002
004D,018A,02F0,013F,FE0E,8A27,000B,14BE,1118,2718,2567,0A8D,025F,005E,0007,0000,0001
004E,018A,02EF,013E,FE08,8A23,0009,0AC3,1476,114F,26E2,25B8,0A0E,027A,0062,0017,0000
004F,0189,02EE,0140,FE0F,8A1A,000B,14B0,1161,274F,2579,0A36,0247,0062,000C,0002,0001
0050,018A,02EC,013F,FE12,8A1A,000B,14D0,11A9,2719,2514,0A3E,025D,0066,0016,0000,0003
0051,018A,02F0,013F,FE0E,8A19,000B,14A7,112B,271D,250B,0AA3,024F,006C,0008,0003,0002
0052,018B,02EE,013E,FE0F,8A12,000B,147D,116B,2761,25ED,09F6,026B,0074,000D,0000,0001
0053,018A,02EF,013E,FE10,8A15,000C,1199,279C,24C0,0A6E,0253,0073,0012,0002,0001,0001
0054,0189,02EE,013E,FE0F,8A22,000A,0A02,14E2,1123,27C8,24A8,0AA6,0277,007C,0010,0002
0055,0184,02EF,013E,FE0F,8A17,000C,1128,2799,2548,0A77,025D,0064,0010,0001,0001,0001
0056,0188,02EC,0143,FE0F,8A17,000C,117D,26DD,258B,0AB6,0270,0057,0016,0004,0000,0001
0057,0186,02EE,0140,FE0C,8A16,000A,09FC,141D,1199,26ED,25D9,0A86,028D,0071,0019,0001
0058,0186,02EE,013E,FE0C,8A1B,000A,09F9,1463,112A,280E,24E9,0AC9,024D,0073,0013,0002
0059,0188,02EF,013B,FE0F,8A12,0009,09B9,13C0,116C,2794,258F,0B15,027D,0067,0011,0000
005A,0186,02EC,0138,FE0F,8A07,000B,13D3,1187,2794,251C,0B77,028A,005F,000B,0001,0001
005B,0186,02F0,013E,FE10,8A18,000B,13AA,11E6,2728,2651,0AB0,0265,006F,000C,0002,0001
005C,0186,02EE,013F,FE0F,8A06,000C,112C,26D8,2657,0B79,0288,006A,0011,0000,0000,0001
005D,0186,02F0,013E,FE0F,8A14,000B,13E1,113F,27B1,2544,0B5E,026E,0069,001B,0002,0002
