tDays,adjusted days,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
219.858831,55.85883102,78596,6117,12.84878208,425,64635,65433,64936,157,368,346,550,1739,2201,703,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8629977,55.86299769,77822,6120,12.71601307,423,64636,65432,64939,173,392,351,618,1682,2140,710,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8671644,55.86716435,74833,6120,12.22761438,425,64643,65435,64935,164,439,391,601,1795,2027,657,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.871331,55.87133102,55145,6120,9.010620915,424,64639,65432,64935,352,649,358,1123,2071,1193,342,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8754977,55.87549769,55942,6120,9.140849673,422,64639,65433,64935,367,614,366,1071,2091,1235,342,25,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8796644,55.87966435,55714,6123,9.099134411,425,64639,65433,64935,357,616,357,1082,2091,1281,299,31,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.883831,55.88383102,54767,6121,8.947394217,423,64639,65432,64935,377,595,354,1076,2149,1228,311,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8879977,55.88799769,56719,6120,9.267810458,425,64645,65432,64935,340,583,354,1123,2107,1262,308,29,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.8921644,55.89216435,54544,6120,8.912418301,423,64639,65433,64935,378,588,344,1089,2118,1288,287,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.896331,55.89633102,54688,6123,8.931569492,423,64638,65433,64935,362,576,396,1112,2109,1230,311,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9004977,55.90049769,54901,6120,8.970751634,425,64639,65433,64934,385,539,391,1081,2137,1252,311,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9046644,55.90466435,54411,6124,8.884879164,426,64639,65436,64935,374,601,369,1108,2130,1209,301,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.908831,55.90883102,54084,6123,8.832925037,423,64641,65433,64934,337,592,384,1083,2169,1240,296,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9129977,55.91299769,53474,6120,8.737581699,423,64639,65435,64940,367,620,383,1114,2100,1217,291,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9171644,55.91716435,55009,6121,8.98693024,425,64639,65432,64935,333,641,386,1045,2107,1269,313,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.921331,55.92133102,55715,6120,9.10375817,423,64638,65436,64935,360,589,381,1107,2130,1236,276,27,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9254977,55.92549769,55016,6117,8.993951283,424,64641,65433,64935,351,574,375,1083,2174,1226,296,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9296644,55.92966435,54903,6120,8.971078431,423,64639,65432,64936,320,629,349,1120,2095,1301,268,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.933831,55.93383102,53782,6119,8.789344664,424,64639,65433,64937,361,586,364,1153,2154,1180,287,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9379977,55.93799769,54263,6122,8.863606664,423,64639,65433,64935,353,613,349,1102,2142,1245,285,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9421644,55.94216435,57465,6118,9.392775417,425,64639,65433,64939,336,577,354,1093,2090,1285,346,26,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.946331,55.94633102,55583,6119,9.083673803,423,64636,65435,64936,338,573,387,1101,2143,1233,309,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9504977,55.95049769,55018,6118,8.992808107,423,64639,65433,64936,334,638,354,1154,2052,1250,303,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9546644,55.95466435,54279,6121,8.867668682,423,64639,65436,64937,360,631,350,1103,2155,1202,289,22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.958831,55.95883102,53560,6120,8.751633987,423,64636,65435,64936,377,624,368,1144,2071,1193,318,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9629977,55.96299769,54742,6129,8.931636482,423,64639,65433,64935,357,614,422,1123,2041,1263,265,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9671644,55.96716435,56973,6133,9.289580955,425,64638,65433,64935,347,629,354,1065,2084,1279,331,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.971331,55.97133102,53684,6130,8.757585644,423,64639,65432,64935,355,632,358,1148,2146,1191,268,22,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9754977,55.97549769,54163,6126,8.841495266,425,64639,65433,64931,356,609,357,1090,2146,1243,303,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9796644,55.97966435,54289,6129,8.857725567,424,64636,65435,64935,351,617,366,1053,2153,1261,306,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.983831,55.98383102,55215,6118,9.025008173,425,64639,65433,64936,354,581,345,1058,2188,1263,299,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9879977,55.98799769,54619,6120,8.924673203,423,64639,65436,64938,353,617,387,1085,2111,1226,307,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.9921644,55.99216435,54289,6116,8.876553303,423,64647,65433,64934,361,585,368,1132,2151,1202,285,21,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.996331,55.99633102,55787,6123,9.111056672,424,64639,65434,64937,384,595,350,1143,2090,1229,285,31,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0004977,56.00049769,55399,6122,9.049166939,424,64643,65433,64936,387,601,345,1133,2073,1212,331,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0046644,56.00466435,55051,6118,8.998202027,423,64638,65436,64936,322,629,369,1165,2108,1186,302,25,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.008831,56.00883102,53898,6122,8.803985626,424,64639,65433,64935,358,608,355,1135,2185,1170,276,27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0129977,56.01299769,54852,6120,8.962745098,423,64639,65436,64937,391,634,375,1141,2063,1151,321,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0171644,56.01716435,54795,6126,8.944662096,423,64639,65432,64935,364,587,374,1151,2101,1231,282,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.021331,56.02133102,53794,6120,8.789869281,423,64639,65432,64936,345,642,402,1105,2087,1214,289,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0254977,56.02549769,55464,6118,9.065707748,423,64641,65432,64935,350,606,365,1140,2078,1229,315,22,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0296644,56.02966435,54613,6122,8.920777524,423,64639,65432,64936,366,573,376,1136,2159,1199,268,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.033831,56.03383102,54097,6120,8.839379085,423,64639,65432,64935,365,685,328,1133,2112,1176,279,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0379977,56.03799769,52350,6118,8.556717882,424,64638,65436,64936,375,686,322,1127,2190,1114,277,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0421644,56.04216435,55337,6115,9.049386754,423,64639,65432,64935,376,599,333,1130,2124,1209,307,27,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.046331,56.04633102,55966,6123,9.140290707,423,64636,65436,64943,367,584,365,1115,2062,1272,327,21,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0504977,56.05049769,55162,6125,9.006040816,423,64639,65436,64935,361,582,366,1114,2106,1246,316,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0546644,56.05466435,53022,6124,8.658066623,425,64639,65432,64940,379,652,371,1139,2102,1161,293,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.058831,56.05883102,54593,6123,8.916054222,423,64640,65439,64935,344,595,371,1176,2119,1203,276,29,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.0629977,56.06299769,54566,6129,8.902920542,424,64639,65435,64935,341,580,411,1199,2082,1188,293,22,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
