Report: 2016-07-19_AA0006_r-029-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 029-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/16,00:35:39
Report date/time: 2016/08/16,08:35:43
Secs per rec: 0168
# of recs: 0050
Battery level: 02BD

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0045,01D1,FD66,FD08,FEC0,9446,000A,0431,0B35,0B84,1653,32B8,2749,082B,0097,003D,0009
0046,01D1,FD66,FD07,FEC0,943E,000A,041F,0AE3,0B80,1605,3396,2732,0829,008D,0034,0005
0047,01D1,FD67,FD09,FEC3,9460,000A,0464,0AF6,0AEA,1682,336C,26ED,0877,0088,003B,0007
0048,01D1,FD67,FD0C,FEC1,9461,000A,046D,0B2C,0AF7,1648,33AC,26DD,0842,0096,0023,0005
0049,01D1,FD67,FD09,FEC3,9432,000A,042F,0A49,0AF7,16DF,3339,27BF,081D,0095,0034,0006
004A,01D1,FD68,FD09,FEC2,9435,000A,0428,0ACE,0AE9,16E6,3317,26F0,08AA,0088,0032,0005
004B,01D1,FD67,FD07,FEC1,942D,000A,041F,0B15,0B08,16CA,335F,26B5,0840,009A,0035,0004
004C,01D1,FD69,FD07,FEC0,942A,000A,0437,0AF3,0ACA,1645,32E9,2784,08B5,009A,002E,0007
004D,01D1,FD64,FD07,FEC1,9429,000A,042E,0A99,0AD6,163E,3378,2792,0865,00A9,0030,0006
004E,01D1,FD67,FD07,FEC3,9466,0009,04B8,0A86,0A80,164A,339D,2716,08BD,00B4,003A,0000
004F,01D1,FD67,FD07,FEC0,944C,000A,0415,0A53,0AC7,16D0,3408,26F5,088A,0095,002C,0005
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
