Report: 2016-07-19_AA0006_r-028-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 028-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/14,16:35:26
Report date/time: 2016/08/15,00:35:29
Secs per rec: 0168
# of recs: 0050
Battery level: 02BE

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0021,01D0,FD67,FD08,FEC0,9435,000A,0415,0B26,0BD5,1644,334F,275D,078B,0089,0020,0001
0022,01D1,FD67,FD0C,FEC3,9463,000A,043E,0AF3,0BB7,1696,326F,2706,089D,00A0,002C,0007
0023,01D1,FD67,FD08,FEC0,944F,000A,0457,0B00,0BFA,162B,32C9,2760,07E7,008B,0031,0007
0024,01D1,FD67,FD07,FEC4,9463,000A,0489,0AF1,0BCE,1616,3367,26E8,07E9,008F,003B,0003
0025,01D1,FD66,FD09,FEC3,945B,000A,0455,0B01,0C3C,15F4,32C8,2762,07E1,0094,0032,0004
0026,01D1,FD67,FD07,FEC3,9462,000A,0407,0AE9,0BAD,16E3,32DC,26EF,0860,0084,002D,0006
0027,01D1,FD68,FD09,FEC3,9473,000A,0422,0ADF,0BC9,168F,32C8,2707,0881,0091,0031,0008
0028,01D1,FD69,FD0B,FEC0,9457,000A,0452,0AC0,0C2D,164B,32ED,2720,07EF,009A,0033,0004
0029,01D1,FD64,FD07,FEC0,944C,000A,043A,0AFC,0C77,165E,326A,2760,07AA,0089,003F,0005
002A,01D1,FD66,FD0A,FEC3,9457,000A,0454,0B41,0C3D,1649,32EE,2666,081D,008F,0035,0007
