Report: 2016-07-19_AA0006_r-039-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 039-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/26,00:44:30
Report date/time: 2016/08/26,08:44:33
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
002F,01C7,FD64,FD0C,FEC3,93D4,000A,05E6,0922,05D7,18E8,39B5,22D3,08B7,0093,0036,0005
0030,01C7,FD63,FD08,FEC1,93FC,000A,05A8,093E,056D,184A,395E,2482,08AC,0082,004E,0003
0031,01C7,FD63,FD0C,FEC1,93F1,000A,0589,0967,059C,18BD,3907,23EE,08F1,007A,0042,0006
0032,01C7,FD66,FD09,FEC4,93D7,000A,0586,0954,05A3,18D9,39B6,2337,08BE,008D,0043,0006
0033,01C7,FD63,FD0E,FEC0,93F2,0009,056E,0919,057C,1868,3A51,23AF,08C7,0088,0038,0000
0034,01C8,FD63,FD08,FEC3,93E2,000A,05A0,093F,0646,1876,39C5,2388,0834,0079,0046,0007
0035,01C8,FD64,FD0B,FEC1,93D4,000A,0588,094F,05A7,18ED,3994,23CF,0857,0077,0034,0004
0036,01C7,FD61,FD0C,FEBF,93DD,0009,05EA,0994,05B7,1935,392F,237E,0812,0076,003E,0000
0037,01C7,FD63,FD0E,FEC2,93DB,000A,0591,097F,05CA,19E4,39C8,2200,0899,007D,003D,0002
0038,01C7,FD61,FD0C,FEC0,93E6,000A,0568,0960,053C,198C,397B,23A5,087A,007C,003E,0002
0039,01C7,FD63,FD0E,FEC1,93E5,000A,0530,094D,0593,17DF,3995,24FF,0891,0095,003B,0001
003A,01C7,FD66,FD0C,FEC0,93D5,000A,0557,08F3,0569,181A,38DB,25D4,0889,008C,0040,0004
003B,01C7,FD61,FD0C,FEC6,93BF,000A,05A7,0998,0632,18BC,3929,238B,081B,008B,0037,0001
003C,01C7,FD63,FD0F,FEC3,93C4,000B,098F,05D6,192C,3A1B,22AC,07D1,0095,0040,0002,0001
003D,01C7,FD63,FD08,FEC7,93B9,000B,094B,05D4,190D,39E3,2312,07CC,008B,003D,0007,0001
003E,01C7,FD63,FD0C,FEC4,93BD,000B,0965,05FB,18C0,39B4,2345,0861,006E,0018,0000,0001
003F,01C7,FD61,FD0C,FEC6,93D6,000A,05FF,0962,05BA,18EC,39ED,2343,0812,0065,0022,0006
0040,01C6,FD61,FD0C,FEC4,93E1,000A,0594,0945,057C,1934,39BD,2351,0874,0090,003E,0008
