Report: 2016-07-19_AA0006_r-023-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 023-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/10,00:34:39
Report date/time: 2016/08/10,08:34:42
Secs per rec: 0168
# of recs: 0050
Battery level: 02C3
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C5,FD68,FD0C,FEC3,93DE,000A,03CB,0B6D,0E1C,13EB,2B64,275E,0C6C,02B7,00AF,000B
0048,01C3,FD66,FD08,FEC1,93AD,000A,04C0,0E46,1105,1679,2CEC,24A9,06CB,008E,0037,0004
0049,01C3,FD67,FD0B,FEC0,93BD,000A,049C,0E1A,1110,1653,2D49,251B,069E,0076,0024,0008
004A,01C1,FD68,FD07,FEC3,93D7,000A,04D8,0DE2,109D,1684,2DB8,24D1,0698,0094,0039,000E
004B,01C2,FD67,FD0C,FEC0,939C,000A,04DE,0E0C,113A,1622,2D29,252F,0652,0081,0026,0005
004C,01C1,FD67,FD0A,FEC0,9393,000A,04FC,0E19,1168,160C,2CCE,24F8,069E,0070,0035,0001
004D,01C2,FD66,FD07,FEC0,9398,000A,04CD,0DE4,1110,1686,2D43,24C3,0691,007B,0039,0006
004E,01C0,FD68,FD09,FEC0,93BA,000A,04EF,0D54,10CD,160E,2DEB,2513,06EA,008E,0021,0005
004F,01C1,FD64,FD08,FEC1,93AB,000A,04EF,0DAC,10FE,1642,2D7E,24B8,06D3,0095,0029,0009
TurtleSense 0.2503 -- CC 4.0 BY-SA NerdsWithoutBorders.Net
--end of report--
