tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,CalEn,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
55.40630787,767523848,17762,43211.56672,890,252,1126,65510,2146445740.0,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,305,313,253,228,163,121,74,26,10,3,0,0,0,0,0
55.4083912,462683107,17762,26049.04329,886,64780,876,163,2098621173.0,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,225,181,166,145,64,57,34,22,7,2,0,0,0,0,0
55.41047454,202296355,17750,11396.97775,882,64831,927,150,2101970195.0,989,989,989,989,989,989,989,989,989,989,989,989,989,1136,1106,971,770,466,265,110,34,18,6,0,0,0,0,0,0,0,0
55.41255787,178565,17740,10.0656708,875,64830,926,152,2101904740.0,472,1129,942,3782,5787,4419,1099,91,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.4146412,26042581,17739,1468.097469,875,64777,840,180,2098398865.0,1579,1579,1579,1579,1579,1579,1579,1579,1579,734,527,468,322,416,403,360,217,70,11,0,0,0,0,0,0,0,0,0,0,0,0
55.41672454,656826135,17736,37033.49882,875,64864,854,204,2104054714.0,233,233,233,233,233,233,233,233,233,233,233,233,233,2215,3141,3451,2716,1678,841,444,173,38,4,0,0,0,0,0,0,0,0
55.41880787,339230017,17732,19130.95065,873,64916,907,344,2107514021.0,703,703,703,703,703,703,703,703,703,703,703,703,703,703,2451,2256,1592,902,436,168,64,15,3,2,0,0,0,0,0,0,0
55.4208912,402545927,17734,22699.10494,873,64864,953,64,2104125401.0,761,761,761,761,761,761,761,761,761,761,761,761,761,761,1704,1789,1524,1089,580,274,86,27,3,1,0,0,0,0,0,0,0
55.42297454,139441,17753,7.854503464,894,64864,952,72,2104124992.0,992,2163,1895,4078,4757,3081,686,85,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.42505787,150666,17783,8.472473711,915,64863,953,71,2104061010.0,827,1982,1812,4297,4736,3166,789,144,24,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
